srno,convert_from,amount,convert_to,result,date,time
1,INR,4654,EUR,41.944,2026-05-24,21:41:03
2,CAD,667,JPY,76917,2026-05-24,21:41:14
3,AUD,5587,GBP,2965.26,2026-05-24,21:41:27
4,INR,780000,CNY,55387,2026-05-24,21:44:24
5,USD,5476,JPY,871542,2026-05-24,21:46:17
6,CAD,2135,USD,1547.01,2026-05-24,21:46:38
7,GBP,3364,CNY,30671,2026-05-24,21:46:50
8,EUR,12423,GBP,10736,2026-05-24,21:54:51
9,USD,346,CNY,2351.14,2026-05-24,21:55:00
10,CAD,876,AUD,891.38,2026-05-24,21:55:10
11,USD,23534,INR,2241330,2026-05-26,17:28:24
